Variable,Data Type,Values,
External Data Reference,Identifier,All different,
Gender,Binary,"F: Woman, H: Man",
Campus,String,Many,SD: Not identified 
programa nombre,String,Many,
nivel_descripción,String,Many,
escuela,String,Many,
años de graduación,Integer,Many,
Decada,String,Many,
lustro,String,Many,
AGE,Integer,Many,
nationality,String,Many,
living country,String,Many,
In which state do you live?,String,Many,
living country  before studies,String,Many,
living state  before studies,String,Many,
Which is the education level of your parents?  Father,String,Many,
Which is the education level of your parents?  Mother,String,Many,
Which of the following best describes the occupation of your father and mother when you began your studies at Tecnologico de Monterrey?  Father,String,Many,
Which of the following best describes the occupation of your father and mother when you began your studies at Tecnologico de Monterrey?  Mother,String,Many,
"During your studies at Tecnologico de Monterrey, did you receive the support of any scholarship (scholarship is understood as economic resources, which you did not have to reimburse at the end of your program)",Binary,Yes and No,
What percentage of support did you receive from the scholarship?,Percentage,Many,
Have you completed postgraduate studies?,Binary,Yes and No,
"Por favor, háganos saber lo que estudió  CONTESTE TODAS LAS COLUMNAS HACIA LA DERECHA     Study level  Program 1",String,Many,
Please select the option that best describes your current situation  Selected Choice,String,Many,
How many hours do you usually work per week?,Integer,Many,
"Por favor conteste las siguientes preguntas de los puestos de trabajo que ha tenido.  Se entiende...  Position  2. Current job position (If you are not currently working, describe the last job position)",String,Many,
"Since graduating from Tecnológico de Monterrey, have you founded a company, either as part of the group of partners or as owner? By partner we mean those who contributed money and/or work to start the company",Binary,Yes and No,
Have you participated as an Advisor in any Advisory Boards of a company?,Binary,Yes and No,
"Since graduating from Tecnológico de Monterrey, have you founded a nonprofit organization, as part of the founding group or main founder?",Binary,Yes and No,
How many organizations have you founded?,Integer,Many,
How many are still in operation (actives)?,Integer,Many,
"Por favor, nos puede proporcionar la siguiente información de las principales organizaciones soci...  Area  organization 1",String,Many,
"Por favor, nos puede proporcionar la siguiente información de las principales organizaciones soci...  Area  organization 2",String,Many,
"Por favor, nos puede proporcionar la siguiente información de las principales organizaciones soci...  Area  organization 3",String,Many,
"Por favor, nos puede proporcionar la siguiente información de las principales organizaciones soci...  Area  organization 4",String,Many,
"Por favor, nos puede proporcionar la siguiente información de las principales organizaciones soci...  Area  organization 5",String,Many,
"Por favor, nos puede proporcionar la siguiente información de las principales organizaciones soci...  Foundation year  organization 1",Integer,Many,
"Por favor, nos puede proporcionar la siguiente información de las principales organizaciones soci...  Foundation year  organization 2",Integer,Many,
"Por favor, nos puede proporcionar la siguiente información de las principales organizaciones soci...  Foundation year  organization 3",Integer,Many,
"Por favor, nos puede proporcionar la siguiente información de las principales organizaciones soci...  Foundation year  organization 4",Integer,Many,
"Por favor, nos puede proporcionar la siguiente información de las principales organizaciones soci...  Foundation year  organization 5",Integer,Many,
"Por favor, nos puede proporcionar la siguiente información de las principales organizaciones soci...  # of years in operation  organization 1",Integer,Many,
"Por favor, nos puede proporcionar la siguiente información de las principales organizaciones soci...  # of years in operation  organization 2",Integer,Many,
"Por favor, nos puede proporcionar la siguiente información de las principales organizaciones soci...  # of years in operation  organization 3",Integer,Many,
"Por favor, nos puede proporcionar la siguiente información de las principales organizaciones soci...  # of years in operation  organization 4",Integer,Many,
"Por favor, nos puede proporcionar la siguiente información de las principales organizaciones soci...  # of years in operation  organization 5",Integer,Many,
"Por favor, nos puede proporcionar la siguiente información de las principales organizaciones soci...  Number of employees in the last year  organization 1",Integer,Many,
"Por favor, nos puede proporcionar la siguiente información de las principales organizaciones soci...  Number of employees in the last year  organization 2",Integer,Many,
"Por favor, nos puede proporcionar la siguiente información de las principales organizaciones soci...  Number of employees in the last year  organization 3",Integer,Many,
"Por favor, nos puede proporcionar la siguiente información de las principales organizaciones soci...  Number of employees in the last year  organization 4",Integer,Many,
"Por favor, nos puede proporcionar la siguiente información de las principales organizaciones soci...  Number of employees in the last year  organization 5",Integer,Many,
"Por favor, nos puede proporcionar la siguiente información de las principales organizaciones soci...  Country  organization 1",String,Many,
"Por favor, nos puede proporcionar la siguiente información de las principales organizaciones soci...  Country  organization 2",String,Many,
"Por favor, nos puede proporcionar la siguiente información de las principales organizaciones soci...  Country  organization 3",String,Many,
"Por favor, nos puede proporcionar la siguiente información de las principales organizaciones soci...  Country  organization 4",String,Many,
"Por favor, nos puede proporcionar la siguiente información de las principales organizaciones soci...  Country  organization 5",String,Many,
Do you regularly donate money to social organizations?,Binary,Many,
"How much money per year do you donate to social organizations? If you donate in another currency, please select an approximate amount in Mexican pesos..",String,Many,
"During the last year, have you done any volunteer work (unpaid) for social organizations?",Binary,Many,
Would you please share an estimate amount of how many hours per MONTH you donate to social organizations?  hours per month,Integer,Many,
"Please rate each of the following statements using the appropiare scale:  In general, how happy or unhappy do you usually feel?
 extremely unhappy:Where 1=Extremely unhappy, 10=Extremely happy",Integer,1-10,
"Please rate each of the following statements using the appropiare scale:  Overall, how satisfied are you with life as a whole these days??
 Where 1 = Not satisfied at all, 10 = Completely Satisfied",Integer,1-10,
"Please rate each of the following statements using the appropiare scale:  IOverall, to what extent do you feel the things you do in your life are worthwhile? 
 Where 1 is = Not at All Worthwhile, and 10 = Completely Worthwhile",Integer,1-10,
"Please rate each of the following statements using the appropiare scale:  In general, how would you rate your physical health?
 Where 1 = Very poor physical health, 10 = excellent physical health",Integer,1-10,
"Please rate each of the following statements using the appropiare scale:  How would you rate your overall mental health?
 Where 1= very poor mental health, 10= excellent mental health",Integer,1-10,
"Please rate each of the following statements using the appropiare scale:  I always act to promote good in all circumstances, even in difficult and challenging  situations 
 Where 1= Not true about me, 10 = Completely true about me",Integer,1-10,
"Please rate each of the following statements using the appropiare scale:  I am always able to give up some happiness now for greater happiness later.
 Where 1= not true of me, 10 = totally true of me",Integer,1-10,
"Please rate each of the following statements using the appropiare scale:  I am content with my friendships and relationships.
 Where 1 = strongly disagree, 10= Totally agree",Integer,1-10,
"Please rate each of the following statements using the appropiare scale:  My relationships are as satisfying as I would want them to be 
 Where 1= strongly disagree, 10= Totally agree",Integer,1-10,
"Please rate each of the following statements using the appropiare scale:  How often do you worry about being able to meet normal monthly living expenses?
 Where 1= worry all of the time, 10= Do not ever worry",Integer,1-10,
"Please rate each of the following statements using the appropiare scale:  How often do you worry about safety, food, or housing?
 Where 1= worry all the time, 10= Do not ever worry",Integer,1-10,
"Please rate each of the following statements using the appropiare scale:  I understand my purpose in life 
 Where 1 = strongly disagree, 10 = Strongly agree",Integer,1-10,
